Date,Close,Signal,Cash,Shares,Position_Value,Portfolio_Value
2023-01-25,141.86000061035156,Buy,0.0,95.58613081188645,13559.848575315356,13559.848575315356
2023-01-26,143.9600067138672,Buy,0.0,95.58613081188645,13760.580033431761,13760.580033431761
2023-01-27,145.92999267578125,Buy,0.0,95.58613081188645,13948.883369284858,13948.883369284858
2023-01-30,143.0,Buy,0.0,95.58613081188645,13668.816706099762,13668.816706099762
2023-01-31,144.2899932861328,Buy,0.0,95.58613081188645,13792.122173094509,13792.122173094509
2023-02-01,145.42999267578125,Buy,0.0,95.58613081188645,13901.090303878915,13901.090303878915
2023-02-02,150.82000732421875,Buy,0.0,95.58613081188645,14416.300949142445,14416.300949142445
2023-02-03,154.5,Buy,0.0,95.58613081188645,14768.057210436456,14768.057210436456
2023-02-06,151.72999572753906,Buy,0.0,95.58613081188645,14503.28321969952,14503.28321969952
2023-02-07,154.64999389648438,Hold,0.0,95.58613081188645,14782.394546646796,14782.394546646796
2023-02-08,151.9199981689453,Buy,0.0,95.58613081188645,14521.444817918356,14521.444817918356
2023-02-09,150.8699951171875,Buy,0.0,95.58613081188645,14421.079088860155,14421.079088860155
2023-02-10,151.00999450683594,Hold,0.0,95.58613081188645,14434.461088832673,14434.461088832673
2023-02-13,153.85000610351562,Buy,0.0,95.58613081188645,14705.926808820173,14705.926808820173
2023-02-14,153.1999969482422,Hold,0.0,95.58613081188645,14643.794948675282,14643.794948675282
2023-02-15,155.3300018310547,Buy,0.0,95.58613081188645,14847.393874033754,14847.393874033754
2023-02-16,153.7100067138672,Buy,0.0,95.58613081188645,14692.544808847653,14692.544808847653
2023-02-17,152.5500030517578,Buy,0.0,95.58613081188645,14581.664547059,14581.664547059
2023-02-21,148.47999572753906,Sell,14178.435666266329,0.0,0.0,14178.435666266329
2023-02-22,148.91000366210938,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-02-23,149.39999389648438,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-02-24,146.7100067138672,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-02-27,147.9199981689453,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-02-28,147.41000366210938,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-01,145.30999755859375,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-02,145.91000366210938,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-03,151.02999877929688,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-06,153.8300018310547,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-07,151.60000610351562,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-08,152.8699951171875,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-09,150.58999633789062,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-10,148.5,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-13,150.47000122070312,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-14,152.58999633789062,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-15,152.99000549316406,Hold,14178.435666266329,0.0,0.0,14178.435666266329
2023-03-16,155.85000610351562,Strong Buy,0.0,90.88390552382884,14164.257230600062,14164.257230600062
2023-03-17,155.0,Buy,0.0,90.88390552382884,14087.005356193471,14087.005356193471
2023-03-20,157.39999389648438,Buy,0.0,90.88390552382884,14305.126174739322,14305.126174739322
2023-03-21,159.27999877929688,Buy,0.0,90.88390552382884,14475.98836089319,14475.98836089319
2023-03-22,157.8300018310547,Buy,0.0,90.88390552382884,14344.206975239307,14344.206975239307
2023-03-23,158.92999267578125,Buy,0.0,90.88390552382884,14444.178439248513,14444.178439248513
2023-03-24,160.25,Buy,0.0,90.88390552382884,14564.145860193572,14564.145860193572
2023-03-27,158.27999877929688,Buy,0.0,90.88390552382884,14385.104455369363,14385.104455369363
2023-03-28,157.64999389648438,Hold,0.0,90.88390552382884,14327.84715112028,14327.84715112028
2023-03-29,160.77000427246094,Buy,0.0,90.88390552382884,14611.4058793639,14611.4058793639
2023-03-30,162.36000061035156,Buy,0.0,90.88390552382884,14755.910956319985,14755.910956319985
2023-03-31,164.89999389648438,Buy,0.0,90.88390552382884,14986.755466168039,14986.755466168039
2023-04-03,166.1699981689453,Hold,0.0,90.88390552382884,15102.178414481237,15102.178414481237
2023-04-04,165.6300048828125,Buy,0.0,90.88390552382884,15053.101715680841,15053.101715680841
2023-04-05,163.75999450683594,Buy,0.0,90.88390552382884,14883.147869342009,14883.147869342009
2023-04-06,164.66000366210938,Buy,0.0,90.88390552382884,14964.94421638046,14964.94421638046
2023-04-10,162.02999877929688,Hold,0.0,90.88390552382884,14725.91910108372,14725.91910108372
2023-04-11,160.8000030517578,Sell,14599.518153301759,0.0,0.0,14599.518153301759
2023-04-12,160.10000610351562,Hold,14599.518153301759,0.0,0.0,14599.518153301759
2023-04-13,165.55999755859375,Hold,14599.518153301759,0.0,0.0,14599.518153301759
2023-04-14,165.2100067138672,Hold,14599.518153301759,0.0,0.0,14599.518153301759
2023-04-17,165.22999572753906,Hold,14599.518153301759,0.0,0.0,14599.518153301759
2023-04-18,166.47000122070312,Hold,14599.518153301759,0.0,0.0,14599.518153301759
2023-04-19,167.6300048828125,Strong Buy,0.0,87.00661104999993,14584.918635148457,14584.918635148457
2023-04-20,166.64999389648438,Hold,0.0,87.00661104999993,14499.65120043628,14499.65120043628
2023-04-21,165.02000427246094,Hold,0.0,87.00661104999993,14357.831327203336,14357.831327203336
2023-04-24,165.3300018310547,Hold,0.0,87.00661104999993,14384.803164210352,14384.803164210352
2023-04-25,163.77000427246094,Hold,0.0,87.00661104999993,14249.073063390835,14249.073063390835
2023-04-26,163.75999450683594,Hold,0.0,87.00661104999993,14248.2021476064,14248.2021476064
